id,model,makeId,typeId
322,A6 2.7TDI,7,1
323,A6 2.8,7,1
324,A6 2.8 FSI,7,1
325,A6 2.8 QUATTRO,7,1
326,A6 3.0 QUATTRO,7,1
327,A6 3.0 TDI QUATTRO,7,1
328,A6 3.0T FSI QUATTRO,7,1
329,A6 3.2 FSI QUATTRO,7,1
330,A6 3.2 QUATTRO,7,1
331,A6 4.2 FSI QUATTRO,7,1
332,A6 4.2 QUATTRO,7,1
333,A6 55 TFSI STRONIC,7,1
334,A6 ALLROAD 2.7 TDI,7,1
335,A6 ALLROAD 3.0 TDI,7,1
336,A6 ALLROAD 3.0T FSI,7,1
337,A6 ALLROAD 3.2 FSI,7,1
338,A6 ALLROAD 4.2 FSI,7,1
339,A6 ALLROAD 55 TFSI,7,1
340,A6 AVANT 1.9 TDI,7,1
341,A6 QUATTRO,7,1
342,A6 SECURITY 4.2 FSI,7,1
343,A6 SECURITY 4.2 QUATTRO,7,1
344,A7 SPORTBACK 3.0 T FSI,7,1
345,A7 SPORTBACK 3.0 TDI,7,1
346,A7 SPORTBACK 55 TFSI,7,1
347,A8 3.0 TDI QUATTRO,7,1
348,A8 4.0 T FSI QUATTRO,7,1
349,A8 4.2,7,1
350,A8 4.2 FSI QUATTRO,7,1
351,A8 4.2 QUATTRO,7,1
352,A8 L 4.0 TFSI QUATTRO,7,1
353,A8 L 4.2 FSI QUATTRO,7,1
354,A8 L 60 TFSI TIPTRONIC,7,1
355,ALLROAD 2.5 TDI QUATTRO,7,2
356,ALLROAD 2.5 TDI QUATTRO,7,1
357,ALLROAD 2.7 T QUATTRO,7,1
358,ALLROAD 2.7 TDI QUATTRO,7,1
359,ALLROAD 3.0 TDI QUATTRO,7,1
360,ALLROAD 3.0T FSI QUATTRO,7,1
361,ALLROAD 3.2 FSI QUATTRO,7,1
362,ALLROAD 4.2 FSI QUATTRO,7,1
363,AVANT S6,7,1
364,CDM6225,7,1
365,E-TRON 55 QUATTRO,7,2
366,E-TRON SPORTBACK 55,7,2
367,Q2 1.4 TFSI,7,1
368,Q2 1.4 TFSI SERIE,7,1
369,Q2 1.4 TFSI STRONIC,7,1
370,Q2 2.0 TFSI AT QUATTRO,7,2
371,Q2 30 TFSI STRONIC,7,1
372,Q2 35 TFSI S TRONIC,7,1
373,Q2 35 TFSI S TRONIC SERIE,7,1
374,Q3 1.4 TFSI,7,1
375,Q3 1.4 TFSI,7,2
376,Q3 1.4 TFSI STRONIC,7,1
377,Q3 2.0 TDI QUATTRO,7,2
378,Q3 2.0 TFSI QUATTRO,7,2
379,Q3 35 TFSI STRONIC,7,1
380,Q3 40 TFSI STRONIC,7,2
381,Q3 SPORTBACK 35 TFSI,7,1
382,Q3 SPORTBACK 40 TFSI,7,2
383,Q5 2.0 TDI QUATTRO,7,2
384,Q5 2.0 TFSI S TRONIC,7,2
385,Q5 2.0T FSI QUATTRO,7,2
386,Q5 3.0 TDI QUATTRO,7,2
387,Q5 3.0 TFSI QUATTRO,7,2
388,Q5 3.2 FSI QUATTRO,7,2
389,Q5 45 TFSI OFFROAD,7,2
390,Q5 45 TFSI S-TRONIC,7,2
391,Q5 SECURITY 2.0 TFSI S,7,2
392,Q5 SECURITY 45 TFSI S,7,2
393,Q7 3.0 TDI,7,2
394,Q7 3.0 TDI QUATTRO,7,2
395,Q7 3.0 V6T FSI QUATTRO,7,2
396,Q7 3.0T FSI QUATTRO,7,2
397,Q7 3.6 QUATTRO,7,2
398,Q7 4.2 FSI QUATTRO,7,2
399,Q7 4.2 TDI QUATTRO,7,2
400,Q7 45 TDI TIPTRONIC,7,2
401,Q7 55 TFSI TIPTRONIC,7,2
402,Q7 55 TFSI TIPTRONIC SLINE,7,2
403,Q7 SLINE,7,2
404,Q8 45 TDI TIPTRONIC,7,2
405,Q8 55 TFSI TIPTRONIC,7,2
406,R8  4.2 QUATTRO,7,1
407,R8 5.2 FSI QUATTRO,7,1
408,R8 5.2 FSI V10 PLUS,7,1
409,R8 SPYDER 5.2 FSI QUATTRO,7,1
410,RS3 SEDAN 2.5 TFSI,7,1
411,RS3 SPORTBACK 2.5 TFSI,7,1
412,RS4,7,1
413,RS4 4.2 QUATTRO,7,1
414,RS5 4.2 FSI QUATTRO,7,1
415,RS5 COUPE 2.9TFSI,7,1
416,RS6,7,1
417,RS6 5.0 T FSI QUATTRO,7,1
418,RS7 SPORTBACK 4.0 TFSI,7,1
419,S3,7,1
420,S3 2.0 T FSI  QUATTRO,7,1
421,S3 2.0 TFSI QUATTRO,7,1
422,S3 SPORTBACK 2.0 T FSI,7,1
423,S4,7,1
424,S4 3.0 TFSI V6 TIPTRONIC,7,1
425,S4 3.0 V6T FSI QUATTRO,7,1
426,S4 3.0T FSI QUATTRO,7,1
427,S4 4.2 QUATTRO,7,1
428,S5 3.0 V6T FSI QUATTRO,7,1
429,S5 4.2 QUATTRO,7,1
